203815,PRINCIPIOS DE COMUNICAÇÃO,4
195332,PROBABILIDADE E ESTATÍSTICA APLICADO A ENGENHARIA,4
206172,PROCESSAMENTO DE SINAIS,4
102458,PROCESSAMENTO DIGITAL DE IMAGENS,4
199141,PROCESSO DE DESENVOLVIMENTO DE SOFTWARE,4
208663,PRODUTIVIDADE E PROFISSIONALISMO EM ENGENHARIA DE SOFTWARE,4
206148,PROJETO DE CIRCUITOS ELETRÔNICOS INTEGRADOS 1,4
203831,PROJETO DE CIRCUITOS INTEGRADOS DIGITAIS,4
203742,PROJETO DE ELEMENTOS AUTOMOTIVOS,6
208591,PROJETO DE ESTRUTURAS DE VEICULOS,4
108499,PROJETO DE SISTEMAS AEROESPACIAIS,6
206261,PROJETO DE SISTEMAS AUTOMOTIVOS,4
107433,PROJETO DE SISTEMAS DE CONTROLE,4
117650,PROJETO DE SISTEMAS DE OBSERVAÇÃO DA TERRA,4
208639,PROJETO DE VEÍCULOS,4
193861,PROJETO INTEGRADOR DE ENGENHARIA 1,4
208175,PROJETO INTEGRADOR DE ENGENHARIA 2,6
110108,PROPULSÃO AEROESPACIAL,6
117668,PROPULSÃO AERONÁUTICA,4
117684,PROPULSÃO ELÉTRICA,4
117676,PROPULSÃO QUÍMICA,4
114634,QUIMICA GERAL EXPERIMENTAL,2
114626,QUIMICA GERAL TEORICA,4
201308,REQUISITOS DE SOFTWARE,4
103217,SEMINÁRIOS EM ENGENHARIA DE SOFTWARE,2
101133,SISTEMAS AEROESPACIAIS,4
199168,SISTEMAS AUTOMOTIVOS,4
193631,SISTEMAS DE BANCOS DE DADOS,4
203793,SISTEMAS DE CONTROLE,4
104876,SISTEMAS DE CONTROLE AUTOMOTIVO,4
102865,SISTEMAS DE ENERGIA SOLAR E EÓLICA,4
206181,SISTEMAS EMBARCADOS,4
208621,SISTEMAS HIDRÁULICOS E PNEUMÁTICOS,4
208191,SISTEMAS HIDROELÉTRICOS,4
201294,TÉCNICAS DE PROGRAMAÇÃO,4
113778,TECNOLOGIAS DE FABRICAÇÃO 1,4
113786,TECNOLOGIAS DE FABRICAÇÃO 2,4
118991,TEORIA DE CIRCUITOS ELETRÔNICOS 1,4
119130,TEORIA DE CIRCUITOS ELETRÔNICOS 2,4
119482,TEORIA DE ELETRÔNICA DIGITAL 1,4
119491,TEORIA DE ELETRÔNICA DIGITAL 2,4
168009,TERMODINAMICA 1,4
206318,TÓPICOS ESPECIAIS 1 EM ENGENHARIA DE ENERGIA,4
193623,TÓPICOS ESPECIAIS DE ENGENHARIA DE SOFTWARE,4
208281,TÓPICOS ESPECIAIS EM ELETRONICA,4
203947,TÓPICOS ESPECIAIS EM ENGENHARIA AUTOMOTIVA,4
110159,TÓPICOS ESPECIAIS EM GOVERNANÇA DE TECNOLOGIA DA INFORMAÇÃO,4
107409,TÓPICOS ESPECIAIS EM JOGOS DIGITAIS,4
110141,TÓPICOS ESPECIAIS EM PROGRAMAÇÃO,4
101141,TRABALHO DE CONCLUSÃO DE CURSO 1,4
102415,TRABALHO DE CONCLUSÃO DE CURSO 2,6
168033,TRANSFERENCIA DE CALOR,6
208299,TRANSMISSÃO E DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,6
206580,VERIFICAÇÃO E VALIDAÇÃO DE SOFTWARE,4
